identificador_boe,publication_date,source_document_sha256,year,boe_series,pre_model_decision,batch_id,batch_rank,batch_hash
BOE-A-2024-439,2024-01-08,7c421c6cc825c886a87484e311db529be4dbdd5f8cae80b570e580b11a275c60,2024,A,MODEL_REQUIRED,main-14,62,a83489815f8467588c0272528b23c7bb670c6b0f768793024c985f4a43816f1b
BOE-A-2025-13627,2025-07-03,cdac52f0b7f6cf09526fe62cdcac6e0bddaa8f5d0d99bcab6ba482477ad4613e,2025,A,MODEL_REQUIRED,main-14,63,a83f0ff94d2127fe3b1de6ff51d25c72a947fa9b4b52b2362a124dcdebf9d194
BOE-A-2026-825,2026-01-14,986d84de0ad3371f811c79d62890b016e4f09790ad0e615ae160539859e0addc,2026,A,MODEL_REQUIRED,main-14,64,a84ef69d441e879ec5ad9b3f2cbc4aa0d9c827c7301a94ce9bde86a987db5e06
BOE-B-2024-29619,2024-08-17,4bf07b72b8a24fa66cd9cdbbda574b5bf7497d947c7cbe55fa65e8fd1393d0c9,2024,B,MODEL_REQUIRED,main-14,65,a857c7a9547908de5d4e87a384985055acf1e9650bb53b5ba4d211b2a48dcfc5
BOE-B-2024-11134,2024-03-27,ba9f46764913d4fe536ab578a61dd6309dc36b73aae109de477dd090eec04daa,2024,B,MODEL_REQUIRED,main-14,66,a864479b19bdacf96e1bafb7dedf4bd06ac2286a455e9d7d9011c14d55604914
BOE-B-2025-32241,2025-09-09,364cb15724aa02348d65213aa009af94de12d54c535c10204d19bc8e2debb665,2025,B,MODEL_REQUIRED,main-14,67,a86bc7f4f41c319b81723ce9acf631bef5304bf768bedf4d4c076ff550aca99f
BOE-A-2026-6784,2026-03-23,1d46f57805db758638b2a6273ac5578f73c540ba47a6a1924b9e6de180a4cf0d,2026,A,MODEL_REQUIRED,main-14,68,a86f13ef9a58086beb9fe89082b73e9de911c6fc2a02fd75ad9c72d44d541207
BOE-B-2026-3083,2026-02-04,ff3389bc4bc79c0cf0d86ceff226d0d68ee0b566886c43cf45b87abade39659a,2026,B,MODEL_REQUIRED,main-14,69,a87edaab748c77302088dc336721622ff4adc2399f76a6c9b17af202d39b5376
BOE-B-2026-23382,2026-07-07,aeea2b954f84e78af6d79354e7482403cd31385993711fd9420f8312b4f6c6fe,2026,B,MODEL_REQUIRED,main-14,70,a88a505976ea349d231e01252a7f1e01a1732b136e25ecd5538ef9b4c1034f5b
BOE-B-2025-1975,2025-01-22,58a28ed9e0735792879e2004ad64f15aa245acd61383bdca2dfcd403452e2516,2025,B,MODEL_REQUIRED,main-14,71,a89917a0685dd25cd27b0286c7c1c616abec412ed5e1b8928abe2123f584cfaa
BOE-B-2025-19799,2025-05-30,f1b36b9540173027e652734e9c0b3335059f4a0673a4830c681ea5fe628c66f4,2025,B,MODEL_REQUIRED,main-14,72,a8bb69cb572ecd17363a071208e326210131ae7231e7312a62ac710e35735ea8
BOE-A-2026-12017,2026-06-04,aaddef4b9e3dda85846565c120b79952ee7c0aaac488601d25f411c30c9e0b4a,2026,A,MODEL_REQUIRED,main-14,73,a8bbd67619b0e05f751c0819825e7713bcb8d776bd91237f1efb7a3e2431e99f
BOE-B-2026-3834,2026-02-10,7ab913ff9efced45847e309203ec0a0313987d82f272125b39cb126025b9652b,2026,B,MODEL_REQUIRED,main-14,74,a8c4e56307bb8c646a330f7bf0ad6b9060bb13b388eddee062d39ca7a0ff1329
BOE-B-2025-14586,2025-04-21,4219b6baa8746c0dbd3147458e00a10f6bc2d514885ffe87f112f2e5de459e01,2025,B,MODEL_REQUIRED,main-14,75,a8ca77a67d500513f908446ead48d6c2b956aa5d8174e153f259e070c27b31e7
BOE-A-2026-16733,2026-07-31,579aa8640fca77d2096f813bf613ef94d932e88c695183ff17dd49a71bdd6b76,2026,A,MODEL_REQUIRED,main-14,76,a8dbd2e900e28ae3fef17f6c228f50bb7cc3fbbf2f36f0997997f8821929947c
BOE-A-2026-11677,2026-05-30,46433e10850d3851464b65709afb9dc445213f8eefab61ea67a1652c730417c4,2026,A,MODEL_REQUIRED,main-14,77,a8e17279a1bfc90b26f41a4375cec4d808c994905238f61dc7fe17207a31bc1f
BOE-B-2024-41351,2024-11-14,4f9fabda2bd1708a57fba5598492773da1a9d334e29f8dc8cd727bad5730b9f9,2024,B,MODEL_REQUIRED,main-14,78,a8e933ca25ba27167398875903364e5856796b1744bc02c6d135614548bb8e26
BOE-A-2026-4779,2026-02-28,948f2bb45a729c59efdee0e51615fd468e08349d911dc9115e6a8464e7eea24d,2026,A,MODEL_REQUIRED,main-14,79,a8efbbfb5ca797905df651b9932702db51c0dc123a9ecf22e2d985eb90b06301
BOE-B-2024-47787,2024-12-31,dd3cc9c634c82ed4cbcf4b135350f2315ced8816738c6e647216f839b0cf6d1d,2024,B,MODEL_REQUIRED,main-14,80,a8fcf9e893b5145f205af30de8f759a23db3328172ef14b3f8c0cebe71d83e13
BOE-B-2025-15986,2025-05-05,4a37dc53b05f06106ac877179f6e2d8dd406ea31ee02d2a92c1562aa8fe434df,2025,B,MODEL_REQUIRED,main-14,81,a90046e4726afe9a08ffc7dc3ae5e6e68c8b4b1c045a5be1560e91b538f7e447
BOE-A-2026-17170,2026-08-06,7e76efa03d797c73eea84164c1c0c2dce0183adaca91273ce4be49f326ea095e,2026,A,MODEL_REQUIRED,main-14,82,a90ce877bb82908f0e5a54dc60b258f661910440e6303ea793f52a0446676926
BOE-B-2025-18360,2025-05-21,36b80df96b2fb348c039f7e768c82bc51e8a794bfdac75d238655d297b2ba4f8,2025,B,MODEL_REQUIRED,main-14,83,a925bef81f2168fca7ea18cc41cf23b0c1133c33da021b54ff8deaad82e75c93
BOE-A-2024-2635,2024-02-12,de1ad27e356d5e7057cea679604cf7093dafd014431fe1207ebb2a2c442558c4,2024,A,MODEL_REQUIRED,main-14,84,a92e48043ccceeb646f4536fe56df7a723b751a2e5d7622fab52f45f1e578214
BOE-A-2025-12785,2025-06-23,2a326a68a2bb372b89ee38790896bf51fe1bf1042218895d8cc24fddd285ec15,2025,A,MODEL_REQUIRED,main-14,85,a92eca6e809efa2b5b0d6f3e2271f44b0ff2b0e5345355af0a8b395450b34b21
BOE-B-2025-779,2025-01-13,de4c3e7ad19f790f53b39ccb8528a2d769af3464767daa2f22a8694d6e8ce357,2025,B,MODEL_REQUIRED,main-14,86,a9324471782dee78c1705dbd614e4c82d9794d0ff2309dfe9cb44e3828d48af6
BOE-B-2025-9145,2025-03-13,ebe52ed6855d18847cab31055d73f1b7677f5dd18d757cc4f2e023cfacfb8c3a,2025,B,MODEL_REQUIRED,main-14,87,a935b6c2b01b1dea1de64757fb02ddcd4b2d8fb46ae2d9c8ebc8a260c039b096
BOE-A-2025-11179,2025-06-04,65652d03237322deceb887fd904a511367b033d4e2da6753e8ed045ce50fb7b0,2025,A,MODEL_REQUIRED,main-14,88,a93992ec1e91f7bbb594b17b53907ad946fac38eb45c5ab2355b7a323ea765d3
BOE-A-2025-26533,2025-12-24,40e3c5238fdeeec5650bd0acf1ebee152f120894e22618de8282b59304ca9600,2025,A,MODEL_REQUIRED,main-14,89,a93f2ab56cf25aa5755c3cedcf458b97fdaa7dbcfa241c0358a251ecd1eef75b
BOE-B-2025-5962,2025-02-20,bbb7ae3927bba8cd398cd5d01d778a62b62a5cd5f2fe10891532aa0bcf99eda6,2025,B,MODEL_REQUIRED,main-14,90,a94da31fc8d07d917c477173df453ca509e4ffcafc1757fc8c167922fc3cdc7e
BOE-A-2026-6223,2026-03-16,d149446df359113b0c7322749c757924dec452ff53e188861269c91ba3588400,2026,A,MODEL_REQUIRED,main-14,91,a950ad012cb76d0eeb4852b52b27294eed85867bd76603e8865b686e491ded80
BOE-A-2025-8832,2025-05-03,9f72834f3e7c47ee91e700c7713a04c1a2c540f8f3a29c298b3a62ea5c6c6502,2025,A,MODEL_REQUIRED,main-14,92,a952b229e71b4dccfaadcf7b6d68e8ecfa4f38e66fe338d0110437dd31770a22
BOE-B-2026-895,2026-01-16,82f9ac1eba92ea73ac360dec50478ebfb4d0bf480998d5aa0d8347f89ea22b29,2026,B,MODEL_REQUIRED,main-14,93,a95d788f1bf210b3243c9e4c0fe2f2162cd51b6a6228b6402ba4bdf8fc33a7f7
